DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
18 April 2024 00:00,749,683,All Island
18 April 2024 00:15,720,659,All Island
18 April 2024 00:30,691,608,All Island
18 April 2024 00:45,662,554,All Island
18 April 2024 01:00,764,502,All Island
18 April 2024 01:15,734,420,All Island
18 April 2024 01:30,703,429,All Island
18 April 2024 01:45,672,433,All Island
18 April 2024 02:00,642,392,All Island
18 April 2024 02:15,606,381,All Island
18 April 2024 02:30,571,339,All Island
18 April 2024 02:45,536,328,All Island
18 April 2024 03:00,500,291,All Island
18 April 2024 03:15,471,272,All Island
18 April 2024 03:30,441,254,All Island
18 April 2024 03:45,411,239,All Island
18 April 2024 04:00,381,207,All Island
18 April 2024 04:15,376,222,All Island
18 April 2024 04:30,371,236,All Island
18 April 2024 04:45,367,255,All Island
18 April 2024 05:00,362,272,All Island
18 April 2024 05:15,365,298,All Island
18 April 2024 05:30,369,322,All Island
18 April 2024 05:45,372,331,All Island
18 April 2024 06:00,375,357,All Island
18 April 2024 06:15,400,399,All Island
18 April 2024 06:30,425,416,All Island
18 April 2024 06:45,450,448,All Island
18 April 2024 07:00,590,439,All Island
18 April 2024 07:15,597,495,All Island
18 April 2024 07:30,605,514,All Island
18 April 2024 07:45,612,546,All Island
18 April 2024 08:00,620,563,All Island
18 April 2024 08:15,620,595,All Island
18 April 2024 08:30,621,671,All Island
18 April 2024 08:45,621,694,All Island
18 April 2024 09:00,622,719,All Island
18 April 2024 09:15,675,820,All Island
18 April 2024 09:30,728,884,All Island
18 April 2024 09:45,782,952,All Island
18 April 2024 10:00,835,1056,All Island
18 April 2024 10:15,902,1185,All Island
18 April 2024 10:30,968,1231,All Island
18 April 2024 10:45,1035,1356,All Island
18 April 2024 11:00,1102,1399,All Island
18 April 2024 11:15,1203,1451,All Island
18 April 2024 11:30,1303,1501,All Island
18 April 2024 11:45,1404,1560,All Island
18 April 2024 12:00,1505,1653,All Island
18 April 2024 12:15,1593,1667,All Island
18 April 2024 12:30,1681,1646,All Island
18 April 2024 12:45,1769,1744,All Island
18 April 2024 13:00,1980,1790,All Island
18 April 2024 13:15,2029,1830,All Island
18 April 2024 13:30,2077,1804,All Island
18 April 2024 13:45,2125,1824,All Island
18 April 2024 14:00,2173,1832,All Island
18 April 2024 14:15,2215,1916,All Island
18 April 2024 14:30,2257,1979,All Island
18 April 2024 14:45,2299,1928,All Island
18 April 2024 15:00,2341,2037,All Island
18 April 2024 15:15,2400,2142,All Island
18 April 2024 15:30,2459,2308,All Island
18 April 2024 15:45,2518,2421,All Island
18 April 2024 16:00,2577,2556,All Island
18 April 2024 16:15,2611,2577,All Island
18 April 2024 16:30,2644,2593,All Island
18 April 2024 16:45,2677,2683,All Island
18 April 2024 17:00,2711,2791,All Island
18 April 2024 17:15,2688,2863,All Island
18 April 2024 17:30,2666,2934,All Island
18 April 2024 17:45,2643,2931,All Island
18 April 2024 18:00,2621,2904,All Island
18 April 2024 18:15,2573,2819,All Island
18 April 2024 18:30,2525,2854,All Island
18 April 2024 18:45,2477,2821,All Island
18 April 2024 19:00,2323,2830,All Island
18 April 2024 19:15,2266,2820,All Island
18 April 2024 19:30,2209,2752,All Island
18 April 2024 19:45,2153,2756,All Island
18 April 2024 20:00,2096,2641,All Island
18 April 2024 20:15,2080,2552,All Island
18 April 2024 20:30,2064,2491,All Island
18 April 2024 20:45,2048,2510,All Island
18 April 2024 21:00,2032,2560,All Island
18 April 2024 21:15,2041,2595,All Island
18 April 2024 21:30,2050,2590,All Island
18 April 2024 21:45,2059,2516,All Island
18 April 2024 22:00,2068,2473,All Island
18 April 2024 22:15,2062,2360,All Island
18 April 2024 22:30,2056,2207,All Island
18 April 2024 22:45,2050,2150,All Island
18 April 2024 23:00,2044,2062,All Island
18 April 2024 23:15,2022,1962,All Island
18 April 2024 23:30,1999,1930,All Island
18 April 2024 23:45,1977,1925,All Island
19 April 2024 00:00,1954,1935,All Island
19 April 2024 00:15,1933,1875,All Island
19 April 2024 00:30,1911,1824,All Island
19 April 2024 00:45,1890,1775,All Island
19 April 2024 01:00,1874,1828,All Island
19 April 2024 01:15,1866,1763,All Island
19 April 2024 01:30,1857,1830,All Island
19 April 2024 01:45,1849,1840,All Island
19 April 2024 02:00,1841,1801,All Island
19 April 2024 02:15,1824,1770,All Island
19 April 2024 02:30,1808,1784,All Island
19 April 2024 02:45,1792,1758,All Island
19 April 2024 03:00,1776,1791,All Island
19 April 2024 03:15,1775,1813,All Island
19 April 2024 03:30,1775,1816,All Island
19 April 2024 03:45,1775,1787,All Island
19 April 2024 04:00,1775,1711,All Island
19 April 2024 04:15,1764,1725,All Island
19 April 2024 04:30,1753,1699,All Island
19 April 2024 04:45,1743,1666,All Island
19 April 2024 05:00,1732,1708,All Island
19 April 2024 05:15,1712,1706,All Island
19 April 2024 05:30,1692,1699,All Island
19 April 2024 05:45,1672,1700,All Island
19 April 2024 06:00,1653,1810,All Island
19 April 2024 06:15,1623,1740,All Island
19 April 2024 06:30,1594,1685,All Island
19 April 2024 06:45,1564,1760,All Island
19 April 2024 07:00,1555,1917,All Island
19 April 2024 07:15,1531,1999,All Island
19 April 2024 07:30,1506,1976,All Island
19 April 2024 07:45,1482,1939,All Island
19 April 2024 08:00,1457,1924,All Island
19 April 2024 08:15,1439,1833,All Island
19 April 2024 08:30,1421,1798,All Island
19 April 2024 08:45,1403,1785,All Island
19 April 2024 09:00,1385,1759,All Island
19 April 2024 09:15,1355,1750,All Island
19 April 2024 09:30,1324,1669,All Island
19 April 2024 09:45,1293,1583,All Island
19 April 2024 10:00,1262,1523,All Island
19 April 2024 10:15,1247,1479,All Island
19 April 2024 10:30,1232,1435,All Island
19 April 2024 10:45,1217,1454,All Island
19 April 2024 11:00,1203,1399,All Island
19 April 2024 11:15,1171,1429,All Island
19 April 2024 11:30,1140,1385,All Island
19 April 2024 11:45,1109,1413,All Island
19 April 2024 12:00,1077,1396,All Island
19 April 2024 12:15,1065,1313,All Island
19 April 2024 12:30,1053,1258,All Island
19 April 2024 12:45,1041,1228,All Island
19 April 2024 13:00,1126,1181,All Island
19 April 2024 13:15,1134,1145,All Island
19 April 2024 13:30,1141,1148,All Island
19 April 2024 13:45,1149,1217,All Island
19 April 2024 14:00,1157,1186,All Island
19 April 2024 14:15,1137,1181,All Island
19 April 2024 14:30,1116,1184,All Island
19 April 2024 14:45,1096,1157,All Island
19 April 2024 15:00,1076,1221,All Island
19 April 2024 15:15,1053,1218,All Island
19 April 2024 15:30,1030,1119,All Island
19 April 2024 15:45,1007,1129,All Island
19 April 2024 16:00,984,1177,All Island
19 April 2024 16:15,967,1208,All Island
19 April 2024 16:30,950,1219,All Island
19 April 2024 16:45,933,1140,All Island
19 April 2024 17:00,916,1062,All Island
19 April 2024 17:15,894,1020,All Island
19 April 2024 17:30,871,984,All Island
19 April 2024 17:45,849,914,All Island
19 April 2024 18:00,826,917,All Island
19 April 2024 18:15,778,851,All Island
19 April 2024 18:30,730,812,All Island
19 April 2024 18:45,682,755,All Island
19 April 2024 19:00,565,726,All Island
19 April 2024 19:15,536,656,All Island
19 April 2024 19:30,508,592,All Island
19 April 2024 19:45,479,544,All Island
19 April 2024 20:00,451,515,All Island
19 April 2024 20:15,428,495,All Island
19 April 2024 20:30,406,491,All Island
19 April 2024 20:45,384,499,All Island
